Id,Status,Person > Department > Type,Person > Brand,Location,Project,Bid Link,Task,Type,Department,Step,Date,Logged Hours,Start Time,Stop Time,Pay Period
4798280,,non-artist COGS,Fuse,LA,NooUP,NOO710,,Meeting,VFX Production,,5/25/24,1,5/25/24 14:45,5/25/24 15:45,LA - PayPeriod 12 - 05/20/2024
4798281,,non-artist COGS,Fuse,LA,NooUP,NOO710,,Meeting,VFX Production,,5/25/24,1,5/25/24 19:00,5/25/24 20:00,LA - PayPeriod 12 - 05/20/2024
4798315,sub,non-artist COGS,Fuse,LA,NooUP,NOO710,Producer,Worktime,VFX Production,PRO - Producer (Episode),5/25/24,5.25,5/25/24 9:30,5/25/24 14:45,LA - PayPeriod 12 - 05/20/2024
4785875,sub,SG&A,Fuse,LA,FolksUnitTests,FUT789,,Worktime,Pipeline & Development,CMP - Compositing (Shot),5/26/24,1.5,5/26/24 3:30,5/26/24 5:00,LA - PayPeriod 12 - 05/20/2024
4785878,sub,SG&A,Fuse,LA,FolksUnitTests,FUT789,,Worktime,Pipeline & Development,CMP - Compositing (Shot),5/26/24,1.5,5/26/24 5:30,5/26/24 7:00,LA - PayPeriod 12 - 05/20/2024
4785883,sub,SG&A,Fuse,LA,FolksUnitTests,FUT789,,Worktime,Pipeline & Development,CMP - Compositing (Shot),5/26/24,1.5,5/26/24 7:30,5/26/24 9:00,LA - PayPeriod 12 - 05/20/2024
4785884,sub,COGS,Folks,BO,Verne,JV205,Comp,Worktime,Compositor,CMP - Compositing (Shot),5/26/24,6,5/26/24 17:00,5/26/24 23:00,BO - PayPeriod 10 - 05/16/2024
4785885,sub,SG&A,Fuse,LA,FolksUnitTests,FUT789,,Worktime,Pipeline & Development,CMP - Compositing (Shot),5/26/24,1.5,5/26/24 9:30,5/26/24 11:00,LA - PayPeriod 12 - 05/20/2024
4785898,sub,SG&A,Fuse,LA,FolksUnitTests,FUT789,,Worktime,Pipeline & Development,CMP - Compositing (Shot),5/26/24,1.5,5/26/24 11:30,5/26/24 13:00,LA - PayPeriod 12 - 05/20/2024
4785899,sub,COGS,Folks,TO,NooUP,NOO710,CMP - Compositing (Shot),Worktime,Compositor,CMP - Compositing (Shot),5/26/24,0.75,5/26/24 13:00,5/26/24 13:45,TO - PayPeriod 12 - 05/19/2024
4785905,sub,COGS,Folks,TO,NooUP,NOO710,CMP - Compositing (Shot),Worktime,Compositor,CMP - Compositing (Shot),5/26/24,2,5/26/24 12:30,5/26/24 14:30,TO - PayPeriod 12 - 05/19/2024
4785906,sub,SG&A,Fuse,LA,FolksUnitTests,FUT789,,Worktime,Pipeline & Development,CMP - Compositing (Shot),5/26/24,1.5,5/26/24 13:30,5/26/24 15:00,LA - PayPeriod 12 - 05/20/2024
4785907,sub,COGS,Folks,TO,NooUP,NOO710,CMP - Compositing (Shot),Worktime,Compositor,CMP - Compositing (Shot),5/26/24,0.75,5/26/24 15:45,5/26/24 16:30,TO - PayPeriod 12 - 05/19/2024
4785908,sub,COGS,Folks,TO,NooUP,NOO710,CMP - Compositing (Shot),Worktime,Compositor,CMP - Compositing (Shot),5/26/24,2,5/26/24 13:45,5/26/24 15:45,TO - PayPeriod 12 - 05/19/2024
4785909,sub,COGS,Folks,BO,Verne,JV205,CMP - Compositing (Shot),Worktime,Compositor,CMP - Compositing (Shot),5/26/24,2.5,5/26/24 14:00,5/26/24 16:30,BO - PayPeriod 10 - 05/16/2024
4785910,sub,non-artist COGS,Fuse,LA,NooUP,NOO710,Comp,Worktime,VFX Supervision,CMP - Compositing (Shot),5/26/24,0.5,5/26/24 16:15,5/26/24 16:45,LA - PayPeriod 12 - 05/20/2024
4785911,sub,non-artist COGS,Fuse,LA,NooUP,NOO710,Comp,Worktime,VFX Supervision,CMP - Compositing (Shot),5/26/24,0.25,5/26/24 16:30,5/26/24 16:45,LA - PayPeriod 12 - 05/20/2024
4785912,sub,non-artist COGS,Fuse,LA,NooUP,NOO710,Comp,Worktime,VFX Supervision,CMP - Compositing (Shot),5/26/24,0.25,5/26/24 16:30,5/26/24 16:45,LA - PayPeriod 12 - 05/20/2024
4785913,sub,SG&A,Fuse,LA,FolksUnitTests,FUT789,,Worktime,Pipeline & Development,CMP - Compositing (Shot),5/26/24,1.5,5/26/24 15:30,5/26/24 17:00,LA - PayPeriod 12 - 05/20/2024
4785914,sub,COGS,Folks,TO,NooUP,NOO710,CMP - Compositing (Shot),Worktime,Compositor,CMP - Compositing (Shot),5/26/24,4,5/26/24 14:30,5/26/24 18:30,TO - PayPeriod 12 - 05/19/2024
4785975,,non-artist COGS,Fuse,NY,NooUP,NOO710,,Worktime,Pipeline & Development,,5/26/24,4,5/26/24 17:30,5/26/24 21:30,NY - PayPeriod 12 - 05/20/2024
4785980,sub,COGS,Folks,TO,NooUP,NOO710,,Idle,Compositor,,5/26/24,3.5,5/26/24 16:30,5/26/24 20:00,TO - PayPeriod 12 - 05/19/2024
4785981,sub,SG&A,Fuse,LA,FolksUnitTests,FUT789,,Worktime,Pipeline & Development,CMP - Compositing (Shot),5/26/24,1.5,5/26/24 17:30,5/26/24 19:00,LA - PayPeriod 12 - 05/20/2024
4785982,sub,non-artist COGS,Fuse,LA,NooUP,NOO710,Comp,Worktime,VFX Supervision,CMP - Compositing (Shot),5/26/24,0,5/26/24 19:15,5/26/24 19:15,LA - PayPeriod 12 - 05/20/2024
